tanggal_id,produk_id,cabang_id,pelanggan_id,pembayaran_id,quantity,total,cogs,rating
1,1,1,1,1,7,548.9715,522.8299999999999,9.1
2,2,2,2,2,5,80.22,76.39999999999999,9.6
3,3,1,3,3,7,340.5255,324.31,7.4
4,1,1,4,1,8,489.048,465.76,8.4
5,4,1,3,1,7,634.3785,604.17,5.3
6,2,2,3,1,7,627.6165,597.7299999999999,4.1
7,2,1,1,1,6,433.692,413.04,5.8
8,3,2,2,1,10,772.38,735.5999999999999,8.0
9,1,1,1,3,2,76.146,72.52,7.2
10,5,3,1,3,3,172.746,164.52,5.9
11,6,3,1,1,4,60.816,57.92,4.5
12,2,3,4,2,4,107.142,102.04,6.8
13,2,1,2,1,5,246.4875,234.75,7.1
14,5,1,3,1,10,453.495,431.9,8.2
15,1,1,2,2,10,749.49,713.8,5.7
16,4,3,1,2,6,590.436,562.32,4.5
17,1,1,1,3,7,506.6355,482.50999999999993,4.6
18,4,1,3,3,6,457.443,435.66,6.9
19,5,1,3,3,3,172.2105,164.01,8.6
17,3,3,2,1,2,84.63,80.6,4.4
7,2,2,4,1,5,451.71,430.2,4.8
20,1,3,3,1,3,277.137,263.94,5.1
21,3,3,3,3,2,69.72,66.39999999999999,4.4
22,2,1,3,1,5,181.44,172.79999999999998,9.9
23,4,1,4,1,3,279.1845,265.89,6.0
24,3,1,1,3,8,441.756,420.72,8.5
5,6,3,3,2,1,35.196,33.52,6.7
25,6,1,2,3,2,184.107,175.34,7.7
26,5,3,2,2,5,463.89,441.8,9.6
21,1,1,3,2,9,235.2105,224.01,7.4
7,6,3,3,3,5,494.1825,470.65,4.8
27,4,3,4,2,9,737.7615,702.6299999999999,4.5
9,4,3,3,2,8,703.752,670.2399999999999,5.1
21,1,1,3,3,2,202.818,193.16,5.1
11,5,2,1,1,4,417.564,397.68,7.5
28,4,2,1,1,1,71.526,68.11999999999999,6.8
25,4,1,4,1,5,328.755,313.1,7.0
16,2,1,2,1,9,575.316,547.92,4.7
29,1,2,2,1,8,461.328,439.36,7.6
3,3,3,4,2,8,253.008,240.96,7.7
30,3,3,1,1,1,91.056,86.72,7.9
31,3,2,4,2,2,117.831,112.22,6.3
5,4,3,1,2,6,435.456,414.72,5.6
32,5,2,1,2,8,829.08,789.6,7.6
33,1,2,4,2,2,32.277,30.74,7.2
12,2,3,1,2,4,394.632,375.84,9.5
34,1,3,4,3,9,535.7205,510.21,8.4
11,5,3,1,1,9,189.0945,180.09,4.1
35,2,3,4,3,6,119.259,113.58,8.1
36,6,2,1,1,10,867.615,826.3,7.9
37,5,2,4,2,7,671.79,639.8,9.5
35,5,1,1,2,5,234.0975,222.95,8.5
24,6,3,1,1,4,75.054,71.48,6.5
26,6,2,4,3,1,16.2015,15.429999999999998,6.1
38,3,3,3,1,2,33.936,32.32,6.5
39,2,2,2,2,8,722.232,687.8399999999999,8.2
40,3,1,4,2,2,93.114,88.68,5.8
14,1,1,3,1,8,752.64,716.8,6.6
41,3,1,1,2,10,759.675,723.4999999999999,5.4
42,2,2,3,2,6,192.843,183.66,9.3
43,4,2,1,3,3,77.931,74.22,10.0
8,3,2,3,1,6,351.099,334.38,7.0
37,4,3,1,1,9,520.4115,495.63,10.0
44,4,1,4,3,10,166.005,158.1,8.6
45,1,3,4,2,4,318.108,302.96,7.6
46,1,1,4,2,10,166.635,158.7,5.8
35,1,2,2,1,2,70.287,66.94,6.7
28,6,3,1,1,6,614.943,585.66,9.9
47,4,1,3,2,10,827.085,787.7,6.4
31,1,1,1,2,1,19.2465,18.33,4.3
48,5,2,3,3,10,939.54,894.8,9.6
49,6,2,3,2,10,652.26,621.1999999999999,5.9
20,5,3,1,1,3,152.838,145.55999999999997,4.0
12,2,2,2,2,6,478.233,455.46,8.7
50,3,1,3,1,9,705.6315,672.03,9.4
51,2,2,2,3,10,437.325,416.5,5.4
52,6,2,4,3,9,463.428,441.36,8.6
53,6,1,1,3,9,189.0945,180.09,5.7
20,5,2,1,1,10,822.255,783.0999999999999,6.6
50,1,2,2,2,5,106.995,101.9,6.0
19,1,2,2,3,6,624.897,595.14,5.5
54,5,3,2,1,3,304.542,290.04,6.4
55,5,2,3,1,8,161.7,153.99999999999997,6.6
56,5,2,1,3,4,337.512,321.44,8.3
12,4,2,4,2,5,256.7775,244.54999999999995,6.6
20,4,2,2,1,7,610.491,581.42,4.0
6,6,2,3,2,5,401.73,382.6,9.9
40,5,1,4,3,7,362.943,345.66,7.3
57,4,1,3,2,1,44.5935,42.47,5.7
34,1,3,2,2,6,485.037,461.94,6.1
55,3,2,1,2,4,198.996,189.52,7.1
54,4,2,2,1,10,471.03,448.6,8.2
9,4,1,1,1,7,161.553,153.86,5.1
42,1,3,4,3,9,608.202,579.24,8.6
11,1,2,3,3,1,94.2375,89.75,6.6
2,2,1,3,1,1,102.018,97.16,7.2
15,1,3,3,1,10,922.635,878.6999999999999,5.1
58,2,2,2,2,6,78.435,74.7,4.1
29,5,1,3,1,3,166.1625,158.25,9.3
20,3,3,3,2,6,521.01,496.2,7.4
59,6,2,4,2,1,51.1455,48.71,4.1
60,6,2,3,2,9,742.2975,706.9499999999999,7.2
61,2,2,2,2,9,218.0115,207.63,4.9
62,5,1,3,2,6,367.038,349.56,9.9
36,1,3,3,2,7,223.0725,212.45,8.0
53,2,1,4,1,10,931.035,886.6999999999999,7.3
1,6,2,3,3,6,172.494,164.28,7.9
24,4,1,3,2,6,391.419,372.78,7.4
63,5,2,2,2,9,321.111,305.82,4.2
3,2,2,4,2,10,860.685,819.6999999999999,9.2
64,4,3,1,1,2,34.629,32.98,4.6
64,1,2,1,3,3,309.3615,294.62999999999994,7.8
43,6,3,2,2,7,535.374,509.88,8.4
65,3,1,4,1,9,548.7615,522.6299999999999,4.3
61,3,2,1,3,9,763.4655,727.11,9.5
23,6,2,2,3,3,85.113,81.06,7.1
20,6,3,4,1,5,115.185,109.7,5.3
66,6,3,4,1,1,53.928,51.35999999999999,5.2
